"","id","identification","molecule","forme","couleur","pourcentage","coupe","presencecoupe","paracetamol","X6MAM","noscapine","cafeine","levamisole","phenacetine","hydroxyzine","lidocaine","procaine","papaverine","dextrometorphane","morphine","comprime","date","topic_id","date_rendu","provenance","molecule_correct","molecule_simp","famille"
"1",2008,"PSY254016","Kétamine","Poudre","Rose","78","Notre marge d'erreur de résultats étant de 10%, il arrive qu'on ait des résultats à plus de 100%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-16,0,1748429342,"Deep web / dark web","Kétamine","Kétamine","Kétamine"
"2",1564,"PSY242985","Speed (amphétamine)","","blanche","89","Nous détectons de l'amphétamine à hauteur de 17% eq base (soit 23% eq sulfate)
nous détectons également de la caféine à hauteur de 58%
Nos résultats sont rendus avec une incertitude de +/-10% de la valeur annoncée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-29,0,1703893742,"Réseaux sociaux en ligne","Speed (amphétamine)","Speed","Speed"
"3",1383,"PSY241949","morphine","Poudre","blanc","THC 15%, CBG <1%, CBN <1%","Nous ne pouvons donner qu'un ordre de grandeur car nous n'avions pas les informations permettant de confirmer et nous avons utilisé des petits volumes donc plus grande incertitude des résultats",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-05,0,1687819741,"Don entre partenaire de conso","Morphine","Morphine","Opioïdes"
"4",1655,"PSY254204","Cocaïne","Poudre","Blanche","5","Nos résultats quantificatifs ont une marge d'erreur de 10%",0,0,0,0,0,0,0,0,0,0,0,0,0,202,2025-01-06,0,1689943742,"Deep web / dark web","Cocaïne","Cocaïne","Cocaïne"
"5",2637,"PSY242972","Héroïne","Résine","blanc","0","Paracétamol 17,72%
Caféine 10,48% 
Héroïne 27,45% équivalent base soit 30,2% équivalent sel.
6-MAM 4,01% 
Papavérine 1,97%
Noscapine 21,69% ",1,34,0,0,27,0,0,0,0,0,0,0,0,0,2023-09-14,0,1742384942,"Livreur","Héroïne","Héroïne","Héroïne"
"6",367,"PSY253938","Héroïne","Résine","Blanc neige","","Héroïne 11%
Morphine 9%
6MAM 51%
caféine 16%
codéine 2%
Noscapine 2%
Papavérine 1%",0,0,0,0,13,0,0,0,0,0,0,0,0,0,2025-05-29,0,1744022942,"Deep web / dark web","Héroïne","Héroïne","Héroïne"
"7",2888,"RDRAD241176","Speed (amphétamine)","Poudre","blanc ","72","Amphétamine 63% base
+ intermédiaire de synthèse : potentiellement du DPAI",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13,0,1741204143,"Deep web / dark web","Speed (amphétamine)","Speed","Speed"
"8",1228,"RDRAD253815","baclofene","Poudre","Vert/brun","87% équivalent chlorhydrate","baclofene confirmé",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-03-23,0,1737028141,"Livreur","Baclofène","Baclofène",NA
"9",2130,"PSY23195","CBD","Cristal","blanchâtre ","87","Nous avons procédé à une CCM, le profil est compatible avec un produit composé majoritairement de CBD
Attention: Nous ne quantifions pas encore les Cannabinoïdes naturels (ça devrait être le cas cet été)
Concernant les cannabinoïdes de synthèse, nous n'en avons pas détecté parmi ceux qu'on a déjà rencontrés (la liste de cannabinoïdes de synthèse étant très longue, nous pouvons difficilement garantir leur absence) ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-02-10,0,1711460942,"","CBD","Cannabis (THC/CBD)","Cannabinoïdes"
"10",2185,"PSYCHO23239","cannabis (THC)","comprimé","Blanc","73","Nous avons procédé à une CCM, le profil est compatible avec un produit composé majoritairement de THC
Attention: Nous ne quantifions pas encore les Cannabinoïdes naturels (ça devrait être le cas cet été)
Concernant les cannabinoïdes de synthèse, nous n'en avons pas détecté parmi ceux qu'on a déjà rencontrés (la liste de cannabinoïdes de synthèse étant très longue, nous pouvons difficilement garantir leur absence).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-14,0,1706658542,"Deep web / dark web","cannabis (THC)","Cannabis (THC/CBD)","Cannabinoïdes"
"11",1826,"PSY242097","CBD","Poudre","blanche","Aucun composé détecté","Nous avons procédé à une CCM, le profil est compatible avec un produit composé majoritairement de CBD
Attention: Nous ne quantifions pas encore les Cannabinoïdes naturels (ça devrait être le cas cet été)
Concernant les cannabinoïdes de synthèse, nous n'en avons pas détecté parmi ceux qu'on a déjà rencontrés (la liste de cannabinoïdes de synthèse étant très longue, nous pouvons difficilement garantir leur absence) ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-04-23,0,1736452142,"Dealer en soirée","CBD","Cannabis (THC/CBD)","Cannabinoïdes"
"12",2984,"PSY242348","pregabaline","Poudre","Blanche","80","Présence de prégabaline (analyse par CCM)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-16,0,1744656543,"Deep web / dark web","Prégabaline","Prégabaline",NA
"13",879,"PSY242636","Speed (amphétamine)","Cristal","blanc rosé","86","Caféine 35%",0,0,0,0,70,0,0,0,0,0,0,0,0,0,2024-12-13,0,1712774942,"Deep web / dark web","Speed (amphétamine)","Speed","Speed"
"14",1368,"PSY254038","Speed (amphétamine)","","Blanc","7","Amphétamine 23% base
Caféine 66%",0,0,0,0,44,0,0,0,0,0,0,0,0,0,2024-03-01,0,1707176941,"","Speed (amphétamine)","Speed","Speed"
"15",1716,"PSY242383","Speed (amphétamine)","Cristal","Blanc","THC 8%, CBD 7%","Caféine 82.5% 
Amphétamine 17.8% base

marge incertitude : +/- 10%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-18,0,1702338542,"","Speed (amphétamine)","Speed","Speed"
"16",1429,"RDRAD242262","Kétamine","comprimé","Noire","92","Nous détectons bien de la kétamine à hauteur de 90,5% eq base, correspondant à 104% équivalent chrlorhydrate.

Nos résultats sont soumis à une incertitude de +/-10% sur les teneurs mesurées ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-21,0,1720032553,"Dealer en soirée","Kétamine","Kétamine","Kétamine"
"17",132,"PSY254339","Sulfate de morphine","Cristal","rose (poudre blanche a l'intérieur)","0","ATTENTION: les gélules de skenan sont composées de microgranules contenant des plastifiants.
Même en broyant ces microgranules, je ne sais pas si la galénique un peu particulière peut corrompre l'analyse en jouant sur la solubilité de la morphine dans notre solution(sur la valeur quantitative)
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-25,81356,1744829342,"","Sulfate de morphine","Morphine","Opioïdes"
"18",273,"RDRAD241597","Deschloroketamine (DCK)","Cristal","blanc","85","Nous détectons bien de la deschlorokétamine dans cet échantillon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-09,0,1746010142,"Deep web / dark web","Deschloroketamine (DCK)","Kétamine","Kétamine"
"19",3059,"PSY241344","MDMA","Poudre","bi couleur, une face orange et une face violette","THC 17%","Nous détectons bien de la MDMA à hauteur de 83% eq base soit 98% de MDMA équivalent chlorhydrate.

Attention, nous avons une incertitude de +/-10% sur la valeur annoncée

",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-23,0,1709423342,"","MDMA","MDMA","MDMA"
"20",3099,"PSY253641","Kétamine","Poudre","Blanche","82","Nous détectons de la kétamine à hauteur de 92% (équivalent base) ce qui correspond à 106% en équivalent chlorhydrate.

Ce résultat peut paraître surprenant, mais il n'est pas inhabituel, nous avons une incertitude sur la mesure de +/- 10% de la valeur annoncée

dans ce cas précis, quand nous annonçons 106% (eq HCL) il faut comprendre 96 à 116 % (donc en réalité 96 à 100%) de kétamine équivalent chlorhydrate

",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-28,0,1722019742,"Dealer en soirée","Kétamine","Kétamine","Kétamine"
"21",2121,"PSY241193","Kétamine","Poudre","Blanc","THC 46, CBD 2%, CBG 7%, CBN <1%","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-14,0,1723142942,"Deep web / dark web","Kétamine","Kétamine","Kétamine"
"22",2876,"PSY241576","4-aco-dmt","comprimé","Blanc cassé ","71","Nous détectons un pic principal dans cet échantillon pour lequel le meilleur candidat pour l'identification est la 4ACODMT
Attention, il s'agit d'une molécule que nous n'avons pas pour habitude de rencontrer souvent et qui fait partie d'une famille de molécules proches entre elles. Dans ce cas nous préférons confirmer l'identification en envoyant l'échantillon à un laboratoire tiers.

Nous détectons éventuellement un second pic de très faible intensité, il pourrait s'agir d'un artefact ou d'un produit de degradation.",0,0,0,0,0,0,0,0,0,0,0,0,0,14,2024-05-27,0,1732016943,"Deep web / dark web","4-aco-dmt","DMT","Hallucinogènes"
"23",3158,"PSY253740","MDMA","Poudre","Gris Opaque ","THC 17%, CBG <1%, CBN <1%","MDMA 39.5% équivalent sel 

Pour la MDMA en comprimé, il est conseillé d'envoyer une pillule entière afin de réaliser l'analyse quantitative de la MDMA en considérant l'ensemble de la masse du comprimé (merci).

Nos résultats sont à considérer avec une marge d'erreur de 10%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-05,71639,1744829342,"","MDMA","MDMA","MDMA"
"24",3,"PSY254084","Kétamine","Poudre","blanche","92","Kétamine 107% équivalent sel 

Nos résultats sont à considérer avec une marge d'erreur de 10%.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-14,0,1748458142,"Dealer de rue (four)","Kétamine","Kétamine","Kétamine"
"25",2355,"PSY241280","Héroïne","Cristal","","41","Héroïne 31%
Paracétamol 15%
Caféine 9%
Noscapine 34%
6MAM 3%
Papavérine 4%",0,45,0,0,17,0,0,0,0,0,0,0,0,0,2024-06-12,0,1730375342,"Dealer de rue (four)","Héroïne","Héroïne","Héroïne"
"26",1370,"PSY241126","Héroïne","Cristal","Marron ","72","Héroïne 34% 
Caféine 7%
Paracétamol 17%
Noscapine 25%

+/- 10%",1,46,0,0,11,0,0,0,0,0,0,0,0,14,2023-12-13,0,1704721741,"Deep web / dark web","Héroïne","Héroïne","Héroïne"
"27",1944,"PSY253950","Héroïne","comprimé","blanc","NQ","Il a été détecté et quantifié par HPLC-DAD : 
Héroine 2.8%
Paracétamol 46.48%
Caféine 27%
et les alcaloides du pavot 6MAM, Noscapine et Papavérine à hauteur respectives de <2%, 2.5% et <1%.
Nos résultats sont rendus avec une marge d'incertitude de +/- 10%.",1,2,0,0,2,0,0,0,0,0,0,0,0,0,2025-04-01,0,1720032553,"Deep web / dark web","Héroïne","Héroïne","Héroïne"
"28",1467,"PSY254342","Héroïne","comprimé","Blanc","34","Teneurs en héroïne, alcaloïdes et adultérants en équivalent base

héroïne 5%
6MAM 2%
Noscapine 4
Papavérine 1
Paracétamol 48
Caféine 34",1,54,0,0,29,0,0,0,0,0,0,0,0,0,2024-10-15,0,1728413342,"","Héroïne","Héroïne","Héroïne"
